Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Artist Lifespan,Gender,Date,Length (cm),Width (cm)
Rain Drapery Fabric,Alexander Girard,7333,"(American, 1907–1993)",(American),1907,1993,86,(Male),1953,174,99
Rain (furnishing fabric),Alexander Girard,7333,"(American, 1907–1993)",(American),1907,1993,86,(Male),1953,134.6,113
Harlequin Printed Fabric,S.M. Hexter Company,9206,,(),0,0,0,(),c. 1955,137.1603,111.7602
Circles,Alexander Girard,7333,"(American, 1907–1993)",(American),1907,1993,86,(Male),1951,210.8204,113.0302
Abacus (Furnishing fabric),Paul Rand,4809,"(American, 1914–1996)",(American),1914,1996,82,(Male),c.1946,135.8903,113
Basics (Drapery fabric),Martin,7341,(Nationality unknown),(Nationality unknown),0,0,0,(Male),c. 1953,149.8603,102.8702
Border Riff #3 Sheer Fabric,Ross Littell,3570,"(American, 1924–2000)",(American),1924,2000,76,(Male),c. 1948,163.8303,116.8402
Multicolored Squares,Alexander Girard,7333,"(American, 1907–1993)",(American),1907,1993,86,(Male),c. 1952,158.7503,118.1102
Sheer Fabric Sample,Alexander Girard,7333,"(American, 1907–1993)",(American),1907,1993,86,(Male),c. 1952,180.3404,121.9202
Cassius (Casement cloth),Emily Belding,7329,"(American, 1904–1999)",(American),1904,1999,95,(Female),c. 1954,170.1803,120.7
Ovals #2 textile (Drapery fabric),Joel Robinson,7348,"(American, 1915 – 2012)",(American),1915,2012,97,(Male),1954–1955,158.7,114.3
Triad,Eszter Haraszty,7336,"(American, born Hungary. 1920–1994)",(American),1920,1994,74,(Female),c. 1951,163.8303,114.3002
Triad,Eszter Haraszty,7336,"(American, born Hungary. 1920–1994)",(American),1920,1994,74,(Female),c. 1951,151.7653,111.7602
Triad,Eszter Haraszty,7336,"(American, born Hungary. 1920–1994)",(American),1920,1994,74,(Female),c. 1951,155,113.0302
Stone on Stone,Vera (Vera Neumann),7364,"(American, 1909–1993)",(American),1909,1993,84,(Female),c. 1950,174,109.2202
Trapeze,"Gretl Wollner, Leo Wollner","7365, 37596","(Austrian, 1920–2006) (Austrian, 1925–1995)",(Austrian) (Austrian),0,0,0,(Female) (),c. 1955,180.3,114.3002
Banda,Angelo Testa,7357,"(American, 1921–1984)",(American),1921,1984,63,(Male),c. 1949,146,113
Banda,Angelo Testa,7357,"(American, 1921–1984)",(American),1921,1984,63,(Male),c. 1949,132.0803,116.8402
Tracy Sheer Fabric,Eszter Haraszty,7336,"(American, born Hungary. 1920–1994)",(American),1920,1994,74,(Female),1952,139.7,110.5
Square Dance Sail Cloth,Vera (Vera Neumann),7364,"(American, 1909–1993)",(American),1909,1993,84,(Female),c. 1950,185.4204,114.3002
Decorated Panel,Lynn Alexander,7327,"(American, 1920–1963)",(American),1920,1963,43,(Female),c. 1954,354.3307,86.3602
Upholstery Fabric Sample,Marli Ehrman,1694,"(American, born Germany. 1904–1982)",(American),1904,1982,78,(Female),Before 1975,82.5,59
Upholstery Fabric Sample,Marli Ehrman,1694,"(American, born Germany. 1904–1982)",(American),1904,1982,78,(Female),Before 1975,93.3,96.5
Casement cloth,Marianne Strengell,5692,"(American, born Finnish. 1909–1998)",(American),1909,1998,89,(Female),1940s,67.3,62.2301
Casement Cloth,Marianne Strengell,5692,"(American, born Finnish. 1909–1998)",(American),1909,1998,89,(Female),c. 1940,78.8,54.6101
Casement cloth,Marianne Strengell,5692,"(American, born Finnish. 1909–1998)",(American),1909,1998,89,(Female),1940s,66,62.2301
Upholstery Fabric,Marianne Strengell,5692,"(American, born Finnish. 1909–1998)",(American),1909,1998,89,(Female),1950s,90.1702,55.8801
Sample Blanket Showing Three Weaves,Dorothy Liebes,7344,"(American, 1899–1972)",(American),1899,1972,73,(Female),c. 1946,66,41.9101
Drapery fabric,Dorothy Liebes,7344,"(American, 1899–1972)",(American),1899,1972,73,(Female),c. 1946,94,63.5
Mexican plaid woven textile,Dorothy Liebes,7344,"(American, 1899–1972)",(American),1899,1972,73,(Female),c. 1940,128.2703,139.7003
Upholstery textile,Dorothy Liebes,7344,"(American, 1899–1972)",(American),1899,1972,73,(Female),c.1930-1947,61,50.8001
Upholstery Fabric,Marli Ehrman,1694,"(American, born Germany. 1904–1982)",(American),1904,1982,78,(Female),c. 1947,132.0803,121.9202
Stacatto Printed Fabric,Yvonne Delattre,7330,(Swiss),(Swiss),0,0,0,(Female),c. 1946,198.1,90.2
Shades and Tints (Drapery fabric),Emily Belding,7329,"(American, 1904–1999)",(American),1904,1999,95,(Female),c. 1954,175.2604,105.4102
Shades and Tints (Drapery fabric),Emily Belding,7329,"(American, 1904–1999)",(American),1904,1999,95,(Female),c. 1954,156.2103,106.6802
Handwoven Fabric,Emily Belding,7329,"(American, 1904–1999)",(American),1904,1999,95,(Female),c. 1955,104.7752,29.2
Handwoven Scarf Material,Emily Belding,7329,"(American, 1904–1999)",(American),1904,1999,95,(Female),c. 1955,109.2202,26
Printed Textile,Marianne Strengell,5692,"(American, born Finnish. 1909–1998)",(American),1909,1998,89,(Female),1950s,177.8,91.5
Casement Fabric,Jack Lenor Larsen,7338,"(American, born 1927)",(American),1927,0,0,(Male),1949,214.6304,109.2202
Leather Cloth Upholstery Fabric,Jack Lenor Larsen,7338,"(American, born 1927)",(American),1927,0,0,(Male),1955,276.8606,96.5
Interplay Casement Fabric,Jack Lenor Larsen,7338,"(American, born 1927)",(American),1927,0,0,(Male),1960,208.2804,123.2
Upholstery textile,Dorothy Liebes,7344,"(American, 1899–1972)",(American),1899,1972,73,(Female),c. 1946,105.4102,120.7
Campagna (Furnishing fabric),Angelo Testa,7357,"(American, 1921–1984)",(American),1921,1984,63,(Male),1951,68.6,86.3
Drapery Material Sample,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),1945,105.4,105.4
Cleaver,Charles D. Briddell,772,(American),(American),0,0,0,(Male),c. 1944-47,28.9,10.8
Drapery Material,Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),c. 1948,174,109.2
Oceana Serving Tray,Russel Wright,6460,"(American, 1904–1976)",(American),1904,1976,72,(Male),1931,49.8,11.5
Cleaverette (model 71),Charles D. Briddell,772,(American),(American),0,0,0,(Male),c. 1944-47,31.1,7.3
Drapery material (Used in the Rockefeller Guest House),Anni Albers,96,"(American, born Germany. 1899–1994)",(American),1899,1994,95,(Female),1942–1944,348,91.4
