Nationality,Count
American,5181
German,965
British,860
French,847
Italian,536
Japanese,507
Swiss,297
Dutch,274
Russian,262
Austrian,239
Canadian,189
Brazilian,167
Unknown,161
Spanish,157
Argentine,142
Mexican,135
Polish,131
Swedish,128
Danish,121
Chinese,101
Belgian,96
Czech,78
Israeli,75
Chilean,70
South African,67
Cuban,64
Venezuelan,62
Finnish,62
Australian,55
Colombian,54
Hungarian,53
Norwegian,49
Indian,39
Peruvian,39
Croatian,34
Korean,31
Irish,24
Uruguayan,23
Turkish,20
Scottish,20
Romanian,19
Haitian,17
Slovenian,17
Serbian,16
New Zealander,16
Ukrainian,13
Icelandic,12
Egyptian,11
Iranian,11
Greek,11
Portuguese,10
Native American,10
Lebanese,9
Slovak,8
Puerto Rican,7
Guatemalan,7
Bosnian,6
Moroccan,6
Georgian,6
Congolese,6
Nigerian,6
Vietnamese,5
Taiwanese,5
Bulgarian,5
Zimbabwean,5
Czechoslovakian,5
Macedonian,4
Ecuadorian,4
Pakistani,4
Palestinian,4
Bolivian,3
Estonian,3
Algerian,3
Lithuanian,3
Albanian,3
Luxembourger,3
Filipino,3
Welsh,3
Latvian,3
Canadian Inuit,3
Malian,3
Ghanaian,3
Ethiopian,2
Nicaraguan,2
Namibian,2
Iraqi,2
Tunisian,2
Senegalese,2
Sudanese,2
Emirati,2
Kyrgyz,2
Singaporean,2
Thai,2
Costa Rican,2
Cameroonian,2
Azerbaijani,2
Salvadoran,2
Malaysian,2
Panamanian,2
Paraguayan,2
Ivorian,1
Ugandan,1
Cambodian,1
Cypriot,1
Sierra Leonean,1
Coptic,1
Yugoslav,1
Mozambican,1
Persian,1
Bahamian,1
Bangladeshi,1
Sahrawi,1
Burkinabé,1
Catalan,1
Afghan,1
Tanzanian,1
Kenyan,1
Beninese,1
Kuwaiti,1
